module,dtc,description
ABS,C0021,Brake Booster Performance
ABS,C1000,Brake Pedal Switch 1 Circuit Performance
ABS,C1008,Brake Fluid Level Circuit High
ABS,C1009,Brake Fluid Level Low
ABS,C100A,Left Front Wheel Speed Sensor Circuit
ABS,C1011,Left Front Wheel Speed Sensor Signal Erratic Performance
ABS,C1014,Left Front Wheel Speed Comparative Performance
ABS,C1015,Right Front Wheel Speed Sensor Circuit
ABS,C101C,Right Front Wheel Speed Sensor Signal Erratic Performance
ABS,C101F,Right Front Wheel Speed Comparative Performance
ABS,C1020,Left Rear Wheel Speed Sensor Circuit
ABS,C1027,Left Rear Wheel Speed Sensor Signal Erratic Performance
ABS,C102A,Left Rear Wheel Speed Comparative Performance
ABS,C102B,Right Rear Wheel Speed Sensor Circuit
ABS,C1032,Right Rear Wheel Speed Sensor Signal Erratic Performance
ABS,C1035,Right Rear Wheel Speed Comparative Performance
ABS,C1036,Rear Wheel Speed Sensor Circuit
ABS,C103D,Rear Wheel Speed Sensor Signal Erratic Performance
ABS,C1040,Rear Wheel Speed Comparative Performance
ABS,C1041,Left Front Tone Wheel Performance
ABS,C1042,Right Front Tone Wheel Performance
ABS,C1043,Left Rear Tone Wheel Performance
ABS,C1044,Right Rear Tone Wheel Performance
ABS,C1046,Left Front Wheel Pressure Phase Monitoring
ABS,C1047,Right Front Wheel Pressure Phase Monitoring
ABS,C1048,Left Rear Wheel Pressure Phase Monitoring
ABS,C1049,Right Rear Wheel Pressure Phase Monitoring
ABS,C104C,Left Front Inlet Valve Control Circuit Low
ABS,C1050,Right Front Inlet Valve Control Circuit Low
ABS,C1054,Left Rear Inlet Valve Control Circuit Low
ABS,C1058,Right Rear Inlet Valve Control Circuit Low
ABS,C105C,Rear Inlet Valve Control Circuit Low
ABS,C1060,Left Front Outlet Valve Control Circuit Low
ABS,C1064,Right Front Outlet Valve Control Circuit Low
ABS,C1068,Left Rear Outlet Valve Control Circuit Low
ABS,C106C,Right Rear Outlet Valve Control Circuit Low
ABS,C1070,Rear Outlet Valve Control Circuit Low
ABS,C1073,ABS Pump Motor Control Circuit
ABS,C1074,ABS Pump Motor Control Circuit Performance
ABS,C1077,ABS Pump Motor Excessive On Time
ABS,C1078,Tire Revolutions Range Performance
ABS,C1079,Tone Wheel Teeth Count Range Performance
ABS,C107B,Wheel Speed Comparative Performance
ABS,C107C,Brake Pedal Switch 1/2 Stuck
ABS,C107D,Brake Pedal Switch 1/2 Correlation
ABS,C107F,Brake Lamp Inhibit Control Circuit Low
ABS,C1080,Brake Lamp Inhibit Control Circuit High
ABS,C1082,Vacuum Pressure Sensor Circuit
ABS,C1083,Vacuum Pressure Sensor Circuit Performance
ABS,C1084,Vacuum Pressure Sensor Circuit Low
ABS,C1085,Vacuum Pressure Sensor Circuit High
ABS,C1086,ABS System Control Too Long
ABS,C1087,Brake Lamp Inhibit Control Circuit Performance
ABS,C108A,Driver Acceleration Request / ACC Deceleration Request Correlation
ABS,C108B,Driver Deceleration Request / ACC Acceleration Request Correlation
ABS,C108C,ACC Maximum Deceleration Threshold Exceeded
ABS,C108D,ACC Maximum Acceleration Threshold Exceeded
ABS,C108F,ABS Brake Lamp Control Circuit Performance
ABS,C1090,ABS Brake Lamp Control Circuit Low
ABS,C1091,ABS Brake Lamp Control Circuit High
ABS,C1093,Front Brake Pressure Sensor Circuit
ABS,C1094,Front Brake Pressure Sensor Circuit Performance
ABS,C1097,Rear Brake Pressure Sensor Circuit
ABS,C1098,Rear Brake Pressure Sensor Circuit Performance
ABS,C1201,Front Traction Control Inlet Valve Control Circuit Low
ABS,C1205,Rear Traction Control Inlet Valve Control Circuit Low
ABS,C1209,Front Traction Control Prime Valve Control Circuit Low
ABS,C120D,Rear Traction Control Prime Valve Control Circuit Low
ABS,C1210,G Sensor Input Circuit Performance
ABS,C1213,G Sensor Input Signal Stuck
ABS,C1219,Steering Angle Sensor Erratic Performance
ABS,C121A,Steering Angle Sensor Not Initialized
ABS,C121C,Torque Request Signal Denied
ABS,C121D,Brake Pressure Sensor Circuit
ABS,C121E,Brake Pressure Sensor Comparative Performance
ABS,C1221,Brake Pressure Sensor/Accelerator Pedal Position Sensor Correlation
ABS,C1222,Brake Pedal Travel Sensor/Brake Pressure Sensor Correlation
ABS,C1227,Brake Pedal Travel Sensor Circuit Performance
ABS,C1228,Brake Pedal Travel Sensor Circuit Low
ABS,C1229,Brake Pedal Travel Sensor Circuit High
ABS,C122A,Brake Pedal Force Switch Circuit
ABS,C122B,Brake Pedal Force Switch Circuit Performance
ABS,C122C,Active Brake Booster Control Circuit Supply Voltage
ABS,C122D,Active Brake Booster Control Circuit
ABS,C1231,Drive Test: Steering Angle Sensor
ABS,C1232,Drive Test: Pressure Sensor
ABS,C1234,Drive Test: Sensor Cluster Installation
ABS,C1235,Drive Test: Test Active
ABS,C1238,Drive Test: Unsuccessful
ABS,C1239,Emissions Rolls Test Active
ABS,C123A,ESP System Sensors Calibration
ABS,C123B,ESP System Control Too Long
ABS,C123C,Dynamics Sensor Mounting/Installation Performance
ABS,C123F,Steering Angle Sensor Comparative Performance
ABS,C1240,Steering Angle Sensor Angle Overtravel Performance
ABS,C1242,G Sensor Input Signal Performance
ABS,C1243,G Sensor Not Intialized
ABS,C1246,Vacuum Pressure Sensor Supply Circuit
ABS,C1249,ACC DTC Present
ABS,C124A,ACC Torque Request Signal Denied
ABS,C124D,ESP Not Calibrated
ABS,C124E,Hill Start Assist Disabled - Conditions Not Correct
ABS,C124F,ESP Request Denied From ACC
ABS,C2100,Battery Voltage Low
ABS,C2101,Battery Voltage High
ABS,C2105,ABS Valve Supply Voltage Circuit Low
ABS,C2111,Sensor Supply 1 Voltage Circuit Low
ABS,C2112,Sensor Supply 1 Voltage Circuit High
ABS,C2114,Dynamics Sensor Supply Voltage Low
ABS,C2115,Dynamics Sensor Supply Voltage High
ABS,C2116,ABS Pump Motor Supply Low Voltage
ABS,C2200,Anti-lock Brake Module Internal
ABS,C2202,Original VIN Mismatch/Missing
ABS,C2204,Dynamics Sensor Internal
ABS,C2205,Steering Angle Sensor Internal
ABS,C2206,Vehicle Configuration Mismatch
ABS,C220A,FDCM DTC Present
ABS,C220B,ABS ACC Valves Not Calibrated
ABS,U0002,CAN C Bus Off Performance
ABS,U0100,Lost Communication With ECM/PCM
ABS,U0101,Lost Communication with TCM
ABS,U0104,Lost Communication With Cruise Control Module
ABS,U0114,Lost Communication With Final Drive Control Module
ABS,U0125,Lost Communication With Dynamics Sensor
ABS,U0126,Lost Communication With Steering Angle Sensor
ABS,U0141,Lost Communication With FCM
ABS,U0401,Implausible Data Received From ECM/PCM
ABS,U0402,Implausible Data Received From TCM
ABS,U0405,Invalid Data Received From Cruise Control Module
ABS,U0429,Implausible Data Received from SCM
ABS,U1003,ESP CAN C Bus Performance
ABS,U1004,CAN C Bus Transmit Performance
ABS,U1104,CAN C Bus CRC Performance
ABS,U140E,Implausible Vehicle Configuration Data Received
ABS,U1501,Implausible Message Data Length Received from ECM/PCM
ABS,U1502,Implausible Message Data Length Received from TCM
ABS,U1503,Implausible Message Data Length Received from FCM
ABS,U1504,Implausible Message Data Length Received from Steering Angle Sensor
